sno,coordinate,from_station_id_num,station_name,latitude,longitude
0,"(42.3521975, -71.1318592)",18,Harvard Ave,42.3521975,-71.1318592
1,"(27.7809225, -82.6896457)",22,9th Ave N,27.7809225,-82.6896457
2,"(47.6152841, -122.3055485)",16,E Pine St,47.6152841,-122.3055485
3,"(47.6185085, -122.3073893)",15,E Denny Way,47.6185085,-122.3073893
4,"(33.3169977, -111.7668675)",12,E Harrison St,33.3169977,-111.7668675
5,"(47.61446489999999, -122.3523282)",1,Elliott Ave,47.6144649,-122.3523282
6,"(47.6123698, -122.3348271)",17,Pine St,47.6123698,-122.3348271
7,"(47.6414505, -122.32941)",25,Fairview Ave E,47.6414505,-122.32941
8,"(47.6257144, -122.3358115)",39,Lake Union Park / Valley St & Boren Ave N,47.6257144,-122.3358115
9,"(21.2980804, -157.8390894)",29,S King St,21.2980804,-157.8390894
10,"(41.4707831, -71.3073819)",19,Bellevue Ave,41.4707831,-71.3073819
11,"(47.6231435, -122.3253339)",13,Summit Ave E & E Republican St,47.6231435,-122.3253339
12,"(40.7587317, -74.1682993)",0,3rd Ave & Broad St,40.7587317,-74.1682993
13,"(47.6204961, -122.3087482)",14,E Thomas St,47.6204961,-122.3087482
14,"(47.6152841, -122.3055485)",9,E Pine St,47.6152841,-122.3055485
15,"(40.3982604, -79.7974289)",8,City Hall / 4th Ave & James St,40.3982604,-79.7974289
16,"(47.6090189, -122.3011392)",28,E Columbia St,47.6090189,-122.3011392
17,"(47.6197254, -122.3430409)",33,John St,47.6197254,-122.3430409
18,"(47.6271436, -122.3423225)",34,Dexter Ave N & Aloha St,47.6271436,-122.3423225
19,"(47.6323711, -122.3422788)",35,Dexter Ave N,47.6323711,-122.3422788
20,"(47.6242649, -122.3167398)",20,12th Ave & E Mercer St,47.6242649,-122.3167398
21,"(47.6139588, -122.3376128)",37,Westlake Ave & 6th Ave,47.6139588,-122.3376128
22,"(47.6221, -122.353988)",41,Key Arena / 1st Ave N & Harrison St,47.6221,-122.353988
23,"(47.6644697, -122.2953091)",45,NE Blakeley St,47.6644697,-122.2953091
24,"(40.7669204, -73.9790398)",4,7th Ave,40.7669204,-73.9790398
25,"(47.6039776, -122.3356)",6,1st Ave & Marion St,47.6039776,-122.3356
26,"(44.9415549, -93.1517002)",11,Summit Ave,44.9415549,-93.1517002
27,"(37.5706203, -122.3494217)",30,Occidental Ave,37.5706203,-122.3494217
28,"(47.6272634, -122.3314858)",24,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,47.6272634,-122.3314858
29,"(21.2980804, -157.8390894)",31,S King St,21.2980804,-157.8390894
30,"(40.7245656, -74.0019192)",7,Spring St,40.7245656,-74.0019192
31,"(47.6560546, -122.3045685)",52,E Stevens Way NE,47.6560546,-122.3045685
32,"(47.6147612, -122.3424258)",3,Blanchard St,47.6147612,-122.3424258
33,"(47.6319181, -122.3409654)",38,Westlake Ave N,47.6319181,-122.3409654
34,"(40.6781085, -74.0060591)",27,Columbia St,40.6781085,-74.0060591
35,"(47.6535921, -122.3015799)",53,UW Intramural Activities Building,47.6535921,-122.3015799
36,"(47.6583184, -122.3132228)",46,NE 42nd St & University Way NE,47.6583184,-122.3132228
37,"(45.655818, -122.5312343)",48,NE 47th St,45.655818,-122.5312343
38,"(47.607445, -122.3429996)",58,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,47.607445,-122.3429996
39,"(47.6553287, -122.3121139)",51,NE 40th St,47.6553287,-122.3121139
40,"(47.6626505, -122.285662)",23,Children's Hospital / Sandpoint Way NE & 40th Ave NE,47.6626505,-122.285662
41,"(47.6159279, -122.340917)",2,6th Ave & Blanchard St,47.6159279,-122.340917
42,"(47.6606303, -122.3105904)",50,Burke Museum / E Stevens Way NE & Memorial Way NE,47.6606303,-122.3105904
43,"(47.6507267, -122.3111987)",54,UW Magnuson Health Sciences Center Rotunda / Columbia Rd & San Juan Rd,47.6507267,-122.3111987
44,"(47.6581218, -122.3035463)",49,UW McCarty Hall / Whitman Ct,47.6581218,-122.3035463
45,"(47.6017227, -122.3287781)",10,Yesler Way,47.6017227,-122.3287781
46,"(31.765866, -106.473892)",32,Pronto shop,31.765866,-106.473892
47,"(47.6116707, -122.3288164)",42,Terry Ave,47.6116707,-122.3288164
48,"(37.798571, -122.4239269)",5,Union St,37.798571,-122.4239269
49,"(47.6245487, -122.3397414)",43,Mercer St & 9th Ave N,47.6245487,-122.3397414
50,"(47.6498743, -122.3082267)",55,NE Pacific St/UW Medical Center,47.6498743,-122.3082267
51,"(47.618751, -122.3208466)",21,Broadway and E Denny Way,47.618751,-122.3208466
52,"(47.6209131, -122.3475589)",44,Thomas St & 5th Ave N,47.6209131,-122.3475589
53,"(47.61150139999999, -122.3499652)",57,Pier 66 / Alaskan Way & Bell St,47.6115014,-122.3499652
