sno,coordinate,station_name,to_station_id_num,latitude,longitude
0,"(47.6152841, -122.3055485)",E Pine St,17,47.6152841,-122.3055485
1,"(47.6414505, -122.32941)",Fairview Ave E,25,47.6414505,-122.32941
2,"(47.6152841, -122.3055485)",E Pine Street,9,47.6152841,-122.3055485
3,"(37.798571, -122.4239269)",Union St,4,37.798571,-122.4239269
4,"(37.773267, -122.4091729)",Harrison St,42,37.773267,-122.4091729
5,"(47.6232378, -122.3074201)",E Republican St,13,47.6232378,-122.3074201
6,"(47.6090189, -122.3011392)",E Columbia St,28,47.6090189,-122.3011392
7,"(47.6319181, -122.3409654)",Westlake Ave N,36,47.6319181,-122.3409654
8,"(21.2980804, -157.8390894)",S King St,29,21.2980804,-157.8390894
9,"(31.2895221, -92.4389377)",Broadway Ave E,12,31.2895221,-92.4389377
10,"(40.7657168, -73.9761894)",6th Ave,38,40.7657168,-73.9761894
11,"(47.6152841, -122.3055485)",E Pine St,16,47.6152841,-122.3055485
12,"(47.6204961, -122.3087482)",E Thomas St,14,47.6204961,-122.3087482
13,"(47.6487031, -122.321441)",E Allison St,26,47.6487031,-122.321441
14,"(47.618246, -122.350789)",Broad St,0,47.618246,-122.350789
15,"(47.6238785, -122.3304413)",Yale Ave N,34,47.6238785,-122.3304413
16,"(47.6319181, -122.3409654)",Westlake Ave N,37,47.6319181,-122.3409654
17,"(37.7913539, -122.4292951)",Clay St,57,37.7913539,-122.4292951
18,"(42.3521975, -71.1318592)",Harvard Ave,7,42.3521975,-71.1318592
19,"(47.6264089, -122.3737148)",Elliott Bay Trail,59,47.6264089,-122.3737148
20,"(29.6500493, -82.3298883)",2nd Ave,1,29.6500493,-82.3298883
21,"(41.4707831, -71.3073819)",Bellevue Ave,19,41.4707831,-71.3073819
22,"(47.6271445, -122.3429091)",Aloha St,35,47.6271445,-122.3429091
23,"(34.0114129, -84.408407)",Sandpoint Way NE,23,34.0114129,-84.408407
24,"(44.95526160000001, -93.177195)",Fairview Ave N,24,44.9552616,-93.177195
25,"(47.5878163, -122.333248)",Occidental Ave S,30,47.5878163,-122.333248
26,"(46.8348319, -96.79545379999999)",30th Ave S,3,46.8348319,-96.7954538
27,"(27.7809225, -82.6896457)",9th Ave N,22,27.7809225,-82.6896457
28,"(47.6560546, -122.3045685)",E Stevens Way NE,53,47.6560546,-122.3045685
29,"(47.7141331, -122.3125151)",15th Ave NE,52,47.7141331,-122.3125151
30,"(39.7613955, -104.9721183)",Marion St,6,39.7613955,-104.9721183
31,"(47.60012080000001, -122.330524)",2nd Ave Extension S,31,47.6001208,-122.330524
32,"(42.3591388, -83.06654619999999)",University Way NE,47,42.3591388,-83.0665462
33,"(47.6185085, -122.3073893)",E Denny Way,11,47.6185085,-122.3073893
34,"(47.6099688, -122.3167894)",12th Ave,15,47.6099688,-122.3167894
35,"(47.6244104, -122.3052678)",E Mercer St,20,47.6244104,-122.3052678
36,"(42.3521975, -71.1318592)",Harvard Ave,18,42.3521975,-71.1318592
37,"(40.7657168, -73.9761894)",6th Ave,2,40.7657168,-73.9761894
38,"(47.6185607, -122.3433411)",Denny Way,41,47.6185607,-122.3433411
39,"(47.6535921, -122.3015799)",UW Intramural Activities Building,54,47.6535921,-122.3015799
40,"(47.65929449999999, -122.3096794)",Memorial Way NE,51,47.6592945,-122.3096794
41,"(40.7584121, -73.5879145)",Post Ave,27,40.7584121,-73.5879145
42,"(47.6644697, -122.2953091)",NE Blakeley St,46,47.6644697,-122.2953091
43,"(47.6511327, -122.3105889)",UW Magnuson Health Sciences Center Rotunda,55,47.6511327,-122.3105889
44,"(42.0258137, -88.0437749)",Whitman Ct,50,42.0258137,-88.0437749
45,"(45.655818, -122.5312343)",NE 47th St,49,45.655818,-122.5312343
46,"(31.765866, -106.473892)",Pronto shop,32,31.765866,-106.473892
47,"(47.6016701, -122.3044334)",E Yesler Way,10,47.6016701,-122.3044334
48,"(47.6116707, -122.3288164)",Terry Ave,43,47.6116707,-122.3288164
49,"(47.6129198, -122.3056199)",E Union Street,5,47.6129198,-122.3056199
50,"(27.7809225, -82.6896457)",9th Ave N,44,27.7809225,-82.6896457
51,"(45.5294846, -122.5627673)",NE Pacific St,56,45.5294846,-122.5627673
52,"(39.6513034, -79.9670275)",Pronto shop 2,33,39.6513034,-79.9670275
53,"(47.6185085, -122.3073893)",E Denny Way,21,47.6185085,-122.3073893
54,"(47.6208963, -122.3430313)",Thomas St,45,47.6208963,-122.3430313
55,"(47.6149683, -122.3444514)",Bell St,58,47.6149683,-122.3444514
