,coordinate,station_name,to_station_id_num,latitude,longitude
0,"(47.6242649, -122.3167398)",12th Ave & E Mercer St,20,47.6242649,-122.3167398
1,"(47.61848939999999, -122.3252807)",Summit Ave & E Denny Way,11,47.61848939999999,-122.3252807
2,"(41.5842374, -93.6187236)",2nd Ave & Vine St,1,41.5842374,-93.6187236
3,"(47.6139588, -122.3376128)",Westlake Ave & 6th Ave,38,47.6139588,-122.3376128
4,"(47.6583184, -122.3132228)",NE 42nd St & University Way NE,47,47.6583184,-122.3132228
5,"(47.607445, -122.3429996)",Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,59,47.607445,-122.3429996
6,"(47.6152386, -122.3221221)",Harvard Ave & E Pine St,18,47.6152386,-122.3221221
7,"(47.6487938, -122.323425)",Eastlake Ave E & E Allison St,26,47.6487938,-122.323425
8,"(47.6553287, -122.3121139)",15th Ave NE & NE 40th St,52,47.6553287,-122.3121139
9,"(47.6177761, -122.3383472)",PATH / 9th Ave & Westlake Ave,37,47.6177761,-122.3383472
10,"(47.5983587, -122.3263627)",6th Ave S & S King St,29,47.5983587,-122.3263627
11,"(47.6271436, -122.3423225)",Dexter Ave N & Aloha St,35,47.6271436,-122.3423225
12,"(47.6535921, -122.3015799)",UW Intramural Activities Building,54,47.6535921,-122.3015799
13,"(47.6606303, -122.3105904)",Burke Museum / E Stevens Way NE & Memorial Way NE,51,47.6606303,-122.3105904
14,"(47.6152219, -122.3267992)",Bellevue Ave & E Pine St,19,47.6152219,-122.3267992
15,"(47.6102763, -122.3398094)",2nd Ave & Pine St,9,47.6102763,-122.3398094
16,"(47.6507267, -122.3111987)",UW Magnuson Health Sciences Center Rotunda / Columbia Rd & San Juan Rd,55,47.6507267,-122.3111987
17,"(40.7587317, -74.1682993)",3rd Ave & Broad St,0,40.7587317,-74.1682993
18,"(47.6270967, -122.3371302)",Lake Union Park / Valley St & Boren Ave N,40,47.6270967,-122.3371302
19,"(47.66311349999999, -122.3152614)",NE 47th St & 12th Ave NE,49,47.66311349999999,-122.3152614
20,"(41.3998627, -81.5455532)",E Harrison St & Broadway Ave E,12,41.3998627,-81.5455532
21,"(47.603843, -122.3300454)",City Hall / 4th Ave & James St,8,47.603843,-122.3300454
22,"(47.62031, -122.329587)",REI / Yale Ave N & John St,34,47.62031,-122.329587
23,"(47.6185492, -122.3424076)",Dexter Ave & Denny Way,41,47.6185492,-122.3424076
24,"(47.6221, -122.353988)",Key Arena / 1st Ave N & Harrison St,42,47.6221,-122.353988
25,"(47.6232102, -122.3384361)",Republican St & Westlake Ave N,36,47.6232102,-122.3384361
26,"(47.6039776, -122.3356)",1st Ave & Marion St,6,47.6039776,-122.3356
27,"(47.6661388, -122.3014797)",Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,46,47.6661388,-122.3014797
28,"(38.9978346, -77.03442179999999)",2nd Ave & Spring St,7,38.9978346,-77.03442179999999
29,"(47.6562315, -122.3155856)",12th Ave & NE Campus Pkwy,48,47.6562315,-122.3155856
30,"(47.6172908, -122.3194892)",Cal Anderson Park / 11th Ave & Pine St,17,47.6172908,-122.3194892
31,"(47.6159279, -122.340917)",6th Ave & Blanchard St,2,47.6159279,-122.340917
32,"(47.6245487, -122.3397414)",9th Ave N & Mercer St,22,47.6245487,-122.3397414
33,"(47.6272634, -122.3314858)",Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,24,47.6272634,-122.3314858
34,"(47.5983889, -122.3299086)",King Street Station Plaza / 2nd Ave Extension S & S Jackson St,31,47.5983889,-122.3299086
35,"(47.6135254, -122.3320429)",Pine St & 9th Ave,39,47.6135254,-122.3320429
36,"(47.6626505, -122.285662)",Children's Hospital / Sandpoint Way NE & 40th Ave NE,23,47.6626505,-122.285662
37,"(47.6092282, -122.3177136)",Seattle University / E Columbia St & 12th Ave,28,47.6092282,-122.3177136
38,"(47.61876969999999, -122.3169302)",12th Ave & E Denny Way,15,47.61876969999999,-122.3169302
39,"(47.6231435, -122.3253339)",Summit Ave E & E Republican St,13,47.6231435,-122.3253339
40,"(47.6604594, -122.3046085)",UW McCarty Hall / Whitman Ct,50,47.6604594,-122.3046085
41,"(47.6069397, -122.3240646)",Frye Art Museum / Terry Ave & Columbia St,27,47.6069397,-122.3240646
42,"(47.6016843, -122.3167388)",12th Ave & E Yesler Way,10,47.6016843,-122.3167388
43,"(31.765866, -106.473892)",Pronto shop,32,31.765866,-106.473892
44,"(47.61627900000001, -122.333579)",Terry Ave & Stewart St,43,47.61627900000001,-122.333579
45,"(47.6092253, -122.3357939)",Union St & 4th Ave,5,47.6092253,-122.3357939
